species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Eurynorhynchus_pygmeus;Scolopaci;Scolopacidae;30;1;0.04057971;0.05057971;YES;0.614339935;61.4339935;68.61;Arctic;171.241;12;9;1976;before 2000;16;172.5
Limnodromus_scolopaceus;Scolopaci;Scolopacidae;70;2;0.042955327;0.052955327;YES;0.655169156;65.5169156;68.61;Arctic;171.241;12;9;1976;before 2000;21;232.8
Phalaropus_fulicarius;Scolopaci;Scolopacidae;80;2;0.042641326;0.052641326;YES;0.629743553;62.9743553;68.61;Arctic;171.241;12;9;1976;before 2000;93;984.96
Phalaropus_lobatus;Scolopaci;Scolopacidae;81;3;0.035087719;0.045087719;YES;0.552311168;55.2311168;68.61;Arctic;171.241;12;9;1976;before 2000;47;513
Philomachus_pugnax;Scolopaci;Scolopacidae;82;2;0.027728263;0.037728263;YES;0.511813949;51.1813949;68.61;Arctic;171.241;12;9;1976;before 2000;40;504.9
Tringa_erythropus;Scolopaci;Scolopacidae;97;1;0.008580009;0.018580009;YES;0.212681608;21.2681608;68.61;Arctic;171.241;12;9;1976;before 2000;15;233.1
Calidris_fuscicollis;Scolopaci;Scolopacidae;14;2;0.054393305;0.064393305;NO;0.766399379;76.6399379;69.4;Arctic;-81.6;57;2;2013;after 2000;23;239
Phalaropus_fulicarius;Scolopaci;Scolopacidae;80;3;0.056876061;0.066876061;NO;0.736871481;73.6871481;70.1;Arctic;-145.8;22;5;2012;after 2000;139;1178
Calidris_pusilla;Scolopaci;Scolopacidae;22;5;0.021274109;0.031274109;NO;0.396697233;39.6697233;70.4;Arctic;-150.7;28;4;2012;after 2000;327;4277.5
Calidris_bairdii;Scolopaci;Scolopacidae;11;1;0.072965006;0.082965006;YES;0.841351519;84.1351519;72.883;Arctic;-78.917;111;2;2006;after 2000;37;342.63
Calidris_fuscicollis;Scolopaci;Scolopacidae;14;1;0.074786325;0.084786325;YES;0.86747643;86.747643;72.883;Arctic;-78.917;111;2;2007;after 2000;20;187.2
Calidris_acuminata;Scolopaci;Scolopacidae;8;1;0.129032258;0.139032258;NO;0.972454299;97.2454299;72.906;Arctic;106.104;80;12;2006;after 2000;15;77.5
Limicola_falcinellus;Scolopaci;Scolopacidae;68;1;0.041172596;0.051172596;YES;0.654829965;65.4829965;72.906;Arctic;106.104;80;12;2006;after 2000;16;242.88
Calidris_bairdii;Scolopaci;Scolopacidae;11;3;0.04826546;0.05826546;NO;0.699437573;69.9437573;73.2;Arctic;-80;21;10;2009;after 2000;160;1657.5
Calidris_alba;Scolopaci;Scolopacidae;9;1;0.014255168;0.024255168;YES;0.354616992;35.4616992;75.728;Arctic;-99.094;11;2;1968;before 2000;14;210.45
Calidris_canutus;Scolopaci;Scolopacidae;12;1;0.032608696;0.042608696;NO;0.577665401;57.7665401;76.083;Arctic;98.533;69;3;1991;before 2000;18;184
Coenocorypha_aucklandica;Scolopaci;Scolopacidae;27;1;0;0.01;YES;0;0;-48.03333;South temperate;166.6;123;6;1984;before 2000;40;842.4
Jacana_jacana;Scolopaci;Other;66;1;0.006613757;0.016613757;YES;0.191312876;19.1312876;6.464;North tropics;-57.76;19;1;1977;before 2000;34;604.8
Metopidius_indicus;Scolopaci;Other;75;1;0.056638348;0.066638348;YES;0.815639308;81.5639308;9.183;North tropics;77.383;144;3;1996;before 2000;20;300.15
Cursorius_cursor;Scolopaci;Other;28;1;0.046296296;0.056296296;YES;0.655806189;65.5806189;15.2;North tropics;-23.168;83;2;2014;after 2000;21;216
Scolopax_minor;Scolopaci;Scolopacidae;92;1;0.018744143;0.028744143;YES;0.367995952;36.7995952;40.525;North temperate;-76.464;132;2;2009;after 2000;13;160.05
Actitis_macularius;Scolopaci;Scolopacidae;111;3;0.003164056;0.013164056;YES;0.074704633;7.4704633;41.203;North temperate;-72.119;47;2;1970;before 2000;22;316.05
Actitis_macularius;Scolopaci;Scolopacidae;111;4;0.029024943;0.039024943;YES;0.514043047;51.4043047;47.336;North temperate;-95.193;100;3;1971;before 2000;18;275.625
