species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Haematopus_chathamensis;Charadrii;Other;38;1;0.009819211;0.019819211;YES;0.248860869;24.8860869;-43.784;South temperate;-176.562;54;3;2000;after 2000;118;1731.3
Vanellus_miles;Charadrii;Charadriidae;107;3;0.042016807;0.052016807;YES;0.777399494;77.7399494;-27.536;South tropics;152.92;108;2;1989;before 2000;26;357
Vanellus_chilensis;Charadrii;Charadriidae;106;1;0.0234;0.0334;NO;0.531256738;53.1256738;-15.815;South tropics;-47.879;17;1;2007;after 2000;36;639
Haematopus_palliatus;Charadrii;Other;41;1;0.03117506;0.04117506;NO;0.59769756;59.769756;30.865;North temperate;-81.45;29;2;2003;after 2000;30;417
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;0.042971562;YES;0.62178554;62.178554;36.727;North temperate;-121.796;93;7;1987;before 2000;690;8734.8
Recurvirostra_americana;Charadrii;Other;88;1;0.056874502;0.066874502;YES;0.807068756;80.7068756;37.433;North temperate;-121.967;117;2;2006;after 2000;56;615.39
Charadrius_nivosus;Charadrii;Charadriidae;55;1;0.041828198;0.051828198;YES;0.710360235;71.0360235;37.587;North temperate;-122.118;1;2;2009;after 2000;247;2940.6
Charadrius_alexandrinus;Charadrii;Charadriidae;45;1;0.036695267;0.046695267;YES;0.66182062;66.182062;46.667;North temperate;19.167;90;2;1991;before 2000;58;926.55
Vanellus_vanellus;Charadrii;Charadriidae;109;16;0.068848147;0.078848147;YES;0.890444077;89.0444077;47.444;North temperate;9.698;81;1;2008;after 2000;123;1292.7
Vanellus_vanellus;Charadrii;Charadriidae;109;2;0.02820781;0.03820781;NO;0.588115413;58.8115413;49.115;North temperate;14.268;26;18;1997;before 2000;880;13577.8
Vanellus_vanellus;Charadrii;Charadriidae;109;18;0.043468314;0.053468314;YES;0.747837679;74.7837679;49.589;North temperate;13.069;52;4;1994;before 2000;35;437.1
Charadrius_dubius;Charadrii;Charadriidae;48;3;0;0.01;YES;0;0;50.195;North temperate;15.977;105;10;1982;before 2000;40;487.35
Charadrius_melodus;Charadrii;Charadriidae;52;3;0.01684156;0.02684156;YES;0.409351822;40.9351822;50.433;North temperate;-106.667;53;3;2003;after 2000;149;2315.7
Vanellus_vanellus;Charadrii;Charadriidae;109;10;0.027;0.037;NO;0.571946504;57.1946504;53.184;North temperate;-3.114;43;2;2003;after 2000;241;2410
Vanellus_vanellus;Charadrii;Charadriidae;109;7;0.03437;0.04437;NO;0.661831426;66.1831426;57.009;North temperate;-4.164;32;3;1985;before 2000;247;4324
Vanellus_vanellus;Charadrii;Charadriidae;109;17;0.0140639;0.0240639;NO;0.355368051;35.5368051;57.126;North temperate;12.237;140;2;1986;before 2000;54;1020
Vanellus_vanellus;Charadrii;Charadriidae;109;4;0.005433727;0.015433727;NO;0.155410733;15.5410733;57.592;North temperate;11.976;99;4;1988;before 2000;132;2259.9
Haematopus_bachmani;Charadrii;Other;35;1;0.017841213;0.027841213;YES;0.401342219;40.1342219;58.508;North temperate;-135.93;13;2;2004;after 2000;86;1008.9
Vanellus_vanellus;Charadrii;Charadriidae;109;5;0.00488;0.01488;NO;0.140711303;14.0711303;59.95;North temperate;16.283;142;3;1989;before 2000;852;12746
Charadrius_hiaticula;Charadrii;Charadriidae;50;5;0.022321429;0.032321429;YES;0.468515379;46.8515379;68.61;Arctic;171.241;12;9;1976;before 2000;19;268.8
Pluvialis_squatarola;Charadrii;Charadriidae;86;3;0.005942653;0.015942653;YES;0.17241388;17.241388;68.61;Arctic;171.241;12;9;1976;before 2000;28;504.825
Pluvialis_dominica;Charadrii;Charadriidae;84;2;0.017777778;0.027777778;NO;0.439256023;43.9256023;71.3;Arctic;-156.6;10;6;2005;after 2000;53;900
Anarhynchus_frontalis;Charadrii;Charadriidae;3;1;0.008381226;0.018381226;YES;0.236108467;23.6108467;-43.545;South temperate;172.186;113;2;1982;before 2000;58;835.2
Charadrius_bicinctus;Charadrii;Charadriidae;47;2;0.011579818;0.021579818;YES;0.303069073;30.3069073;-43.545;South temperate;172.186;113;2;1982;before 2000;127;1813.5
Haematopus_ostralegus;Charadrii;Other;36;5;0.011138959;0.021138959;YES;0.273300077;27.3300077;-43.545;South temperate;172.186;113;2;1982;before 2000;13;179.55
Himantopus_himantopus;Charadrii;Other;43;2;0.007065889;0.017065889;YES;0.178624123;17.8624123;-43.545;South temperate;172.186;113;2;1982;before 2000;13;141.525
Vanellus_miles;Charadrii;Charadriidae;107;1;0.002240896;0.012240896;YES;0.075515859;7.5515859;-38.48;South temperate;145.224;107;1;2010;after 2000;32;1338.75
Charadrius_ruficapillus;Charadrii;Charadriidae;59;1;0.075091575;0.085091575;YES;0.887600445;88.7600445;-37.885;South temperate;144.799;55;1;2012;after 2000;62;546
Vanellus_chilensis;Charadrii;Charadriidae;106;2;0;0.01;NO;0;0;-25.45;South tropics;-49.217;30;3;2013;after 2000;50;1399
Actophilornis_africanus;Charadrii;Other;2;1;0.048414428;0.058414428;YES;0.717888919;71.7888919;-24.672;South tropics;28.66;34;9;1984;before 2000;123;1755.675
Charadrius_thoracicus;Charadrii;Charadriidae;62;2;0.026340996;0.036340996;YES;0.538895198;53.8895198;-24.145;South tropics;43.829;136;1;2004;after 2000;74;835.2
Charadrius_marginatus;Charadrii;Charadriidae;51;1;0.03968254;0.04968254;YES;0.678178462;67.8178462;-22.095;South tropics;43.269;7;8;2011;after 2000;341;5443.2
Charadrius_pecuarius;Charadrii;Charadriidae;56;1;0.035238795;0.045238795;YES;0.613521334;61.3521334;-22.095;South tropics;43.269;7;8;2011;after 2000;829;12855.15
Charadrius_thoracicus;Charadrii;Charadriidae;62;1;0.02765051;0.03765051;YES;0.556545235;55.6545235;-22.095;South tropics;43.269;7;11;2009;after 2000;522;9330.75
Charadrius_alexandrinus;Charadrii;Charadriidae;45;6;0.033333333;0.043333333;YES;0.6258674;62.58674;15.2;North tropics;-23.168;83;9;2011;after 2000;542;6960
Charadrius_alexandrinus;Charadrii;Charadriidae;45;5;0.079653156;0.089653156;YES;0.909927069;90.9927069;16.681;North tropics;42.114;42;3;2008;after 2000;196;1983.6
Charadrius_nivosus;Charadrii;Charadriidae;55;5;0.013688257;0.023688257;YES;0.329479734;32.9479734;23.9;North tropics;-106.95;27;10;2011;after 2000;731;10300.8
Charadrius_alexandrinus;Charadrii;Charadriidae;45;4;0.047768324;0.057768324;YES;0.758155561;75.8155561;24.258;North tropics;54.604;3;2;2005;after 2000;239;2679.6
Charadrius_nivosus;Charadrii;Charadriidae;55;2;0.062318239;0.072318239;YES;0.845257861;84.5257861;26.267;North tropics;-97.367;74;2;1995;before 2000;67;722.1
Charadrius_alexandrinus;Charadrii;Charadriidae;45;3;0.073891626;0.083891626;YES;0.892057486;89.2057486;27.065;North tropics;49.484;61;1;2015;after 2000;12;121.8
Charadrius_nivosus;Charadrii;Charadriidae;55;3;0.042875388;0.052875388;YES;0.71940105;71.940105;41.083;North temperate;-112.117;48;4;1991;before 2000;359;4384.8
Charadrius_montanus;Charadrii;Charadriidae;54;1;0.027223902;0.037223902;YES;0.580814682;58.0814682;47.8;North temperate;-108.017;103;6;1998;before 2000;584;8779.05
Charadrius_dubius;Charadrii;Charadriidae;48;1;0.027027027;0.037027027;NO;0.541992979;54.1992979;49.0343;North temperate;14.799;135;5;2001;after 2000;73;740
Vanellus_gregarius;Charadrii;Charadriidae;105;1;0.025427275;0.035427275;NO;0.513817771;51.3817771;50.583;North temperate;70.017;72;10;2009;after 2000;971;12427.6
Vanellus_gregarius;Charadrii;Charadriidae;105;2;0.04353562;0.05353562;YES;0.712441357;71.2441357;53.173;North temperate;76.047;106;1;2007;after 2000;130;1516
Charadrius_semipalmatus;Charadrii;Charadriidae;61;2;0.019569472;0.029569472;YES;0.424995663;42.4995663;54.017;North temperate;-132.133;46;5;1986;before 2000;47;613.2
Pluvialis_dominica;Charadrii;Charadriidae;84;3;0.010568032;0.020568032;NO;0.290101094;29.0101094;58.701;North temperate;-93.802;56;3;2013;after 2000;29;378.5
Charadrius_mongolus;Charadrii;Charadriidae;53;1;0.021786492;0.031786492;NO;0.442182841;44.2182841;62.543;Arctic;177.076;87;8;2012;after 2000;67;918
Pluvialis_fulva;Charadrii;Charadriidae;85;1;0.029118774;0.039118774;NO;0.625654229;62.5654229;62.543;Arctic;177.076;87;8;2012;after 2000;57;652.5
Pluvialis_dominica;Charadrii;Charadriidae;84;1;0.023852117;0.033852117;YES;0.540930286;54.0930286;70.38;Arctic;-149.534;73;4;1990;before 2000;24;377.325
Pluvialis_squatarola;Charadrii;Charadriidae;86;1;0.014316392;0.024316392;YES;0.367345343;36.7345343;70.38;Arctic;-149.534;73;4;1990;before 2000;25;419.1
Pluvialis_squatarola;Charadrii;Charadriidae;86;2;0.014998125;0.024998125;YES;0.381091335;38.1091335;71.333;Arctic;-179.5;147;1;2007;after 2000;16;266.7
Pluvialis_fulva;Charadrii;Charadriidae;85;2;0.023872679;0.033872679;NO;0.552193827;55.2193827;73.079;Arctic;80.654;86;1;2002;after 2000;23;377
Pluvialis_dominica;Charadrii;Charadriidae;84;4;0.064653858;0.074653858;NO;0.88415999;88.415999;73.2;Arctic;-80;21;9;2009;after 2000;176;1639.5
Vanellus_vanellus;Charadrii;Charadriidae;109;12;0.023853469;0.033853469;NO;0.526886362;52.6886362;53.523;North temperate;8.398;130;5;2003;after 2000;245;2705
Rhinoptilus_africanus;Scolopaci;Other;90;1;0.005;0.015;NO;0.122190858;12.2190858;-29.117;South tropics;20.317;37;4;1994;before 2000;12;199.5
Rhinoptilus_africanus;Scolopaci;Other;90;2;0.0084;0.0184;NO;0.196937271;19.6937271;-25.44;South tropics;20.903;63;2;1964;before 2000;45;475
Glareola_nuchalis;Scolopaci;Other;33;2;0.051948052;0.061948052;NO;0.673806852;67.3806852;-17.836;South tropics;25.709;95;1;1987;before 2000;12;77
Glareola_nuchalis;Scolopaci;Other;33;1;0.056216931;0.066216931;YES;0.703301179;70.3301179;0.499;North tropics;12.812;96;9;1974;before 2000;36;302.4
Rostratula_benghalensis;Scolopaci;Other;91;1;0.009995003;0.019995003;YES;0.20629357;20.629357;24.717;North tropics;121.717;59;1;2005;after 2000;17;200.1
Glareola_pratincola;Scolopaci;Other;34;1;0.007910141;0.017910141;YES;0.153608644;15.3608644;33.866;North temperate;-7.063;112;2;2003;after 2000;215;1896.3
Actitis_macularius;Scolopaci;Scolopacidae;111;2;0.013605442;0.023605442;YES;0.285106492;28.5106492;42.34;North temperate;-82.979;14;1;1947;before 2000;35;441
Actitis_macularius;Scolopaci;Scolopacidae;111;5;0.003401361;0.013401361;YES;0.080086264;8.0086264;42.995;North temperate;-87.882;91;1;1944;before 2000;21;294
Numenius_americanus;Scolopaci;Scolopacidae;76;1;0.024054983;0.034054983;NO;0.552248979;55.2248979;43.868;North temperate;-116.733;89;3;1978;before 2000;119;1746
Bartramia_longicauda;Scolopaci;Scolopacidae;5;1;0.020294267;0.030294267;YES;0.425112936;42.5112936;47.551;North temperate;-101.002;101;28;1977;before 2000;608;8278.2
Catoptrophorus_semipalmatus;Scolopaci;Scolopacidae;26;1;0.02750191;0.03750191;YES;0.535548018;53.5548018;47.551;North temperate;-101.002;101;28;1977;before 2000;77;981.75
Gallinago_delicata;Scolopaci;Scolopacidae;31;1;0.024743726;0.034743726;YES;0.438006465;43.8006465;47.551;North temperate;-101.002;101;28;1977;before 2000;24;282.9
Limosa_fedoa;Scolopaci;Scolopacidae;71;1;0.022429262;0.032429262;YES;0.470154299;47.0154299;47.551;North temperate;-101.002;101;28;1977;before 2000;43;579.6
Steganopus_tricolor;Scolopaci;Scolopacidae;94;1;0.025990903;0.035990903;YES;0.508864472;50.8864472;47.551;North temperate;-101.002;101;28;1977;before 2000;129;1692.9
Gallinago_gallinago;Scolopaci;Scolopacidae;32;1;0.006;0.016;NO;0.129263317;12.9263317;52.308;North temperate;5.526;134;10;1979;before 2000;500;6000
Limosa_limosa;Scolopaci;Scolopacidae;74;1;0.011;0.021;NO;0.25817772;25.817772;52.308;North temperate;5.526;134;10;1979;before 2000;5000;70000
Philomachus_pugnax;Scolopaci;Scolopacidae;82;1;0.001;0.011;NO;0.025190058;2.5190058;52.308;North temperate;5.526;134;10;1979;before 2000;50;750
Tringa_totanus;Scolopaci;Scolopacidae;101;1;0.007;0.017;NO;0.177110263;17.7110263;52.308;North temperate;5.526;134;10;1979;before 2000;500;7000
Numenius_arquata;Scolopaci;Scolopacidae;77;1;0.052596976;0.062596976;YES;0.838981745;83.8981745;53.053;North temperate;-3.633;51;2;1984;before 2000;35;456.3
Actitis_hypoleucos;Scolopaci;Scolopacidae;1;2;0.006614694;0.016614694;YES;0.155689564;15.5689564;53.403;North temperate;-1.789;5;4;1978;before 2000;88;1058.25
Scolopax_rusticola;Scolopaci;Scolopacidae;93;1;0.02;0.03;NO;0.412178061;41.2178061;54.285;North temperate;-2.691;40;44;1967;before 2000;277;1370
Numenius_arquata;Scolopaci;Scolopacidae;77;3;0.048401037;0.058401037;NO;0.813042088;81.3042088;54.303;North temperate;-7.616;79;2;1994;before 2000;170;1735.5
Actitis_hypoleucos;Scolopaci;Scolopacidae;1;1;0.00497977;0.01497977;YES;0.119531702;11.9531702;54.505;North temperate;-3.051;121;14;1944;before 2000;33;401.625
Gallinago_gallinago;Scolopaci;Scolopacidae;32;2;0.006324111;0.016324111;YES;0.135770075;13.5770075;54.719;North temperate;20.738;64;5;2001;after 2000;32;316.25
Numenius_arquata;Scolopaci;Scolopacidae;77;2;0.07000307;0.08000307;NO;0.913964993;91.3964993;54.821;North temperate;-6.058;8;3;1993;before 2000;191;1628.5
Tringa_totanus;Scolopaci;Scolopacidae;101;3;0.07366985;0.08366985;NO;0.880394558;88.0394558;56.264;North temperate;16.445;124;1;2004;after 2000;40;366.5
Calidris_alpina;Scolopaci;Scolopacidae;10;1;0.042454813;0.052454813;NO;0.66194922;66.194922;57.338;North temperate;-7.385;125;5;1991;before 2000;222;2379
Tringa_totanus;Scolopaci;Scolopacidae;101;2;0.02345679;0.03345679;NO;0.482466886;48.2466886;57.338;North temperate;-7.385;125;3;1986;before 2000;57;810
Tringa_nebularia;Scolopaci;Scolopacidae;99;1;0.02268464;0.03268464;YES;0.477624617;47.7624617;58.533;North temperate;-4.232;102;25;1995;before 2000;51;573.075
Calidris_himantopus;Scolopaci;Scolopacidae;15;1;0.008573388;0.018573388;YES;0.186694464;18.6694464;58.701;North temperate;-93.802;56;4;1965;before 2000;43;583.2
