who,source_id,species,ref_abb,locality,start_year,year,end_year,nests_total,nests_hatched,nests_predated,nests_abandoned,nests_infertile,nests_failed_other_cause,nests_unknown_fate,nests_total_failed,prop_hatched,prop_predated,daily_survival_rate,ds_lwr,ds_upr,daily_predation_rate,dp_lwr,dp_upr,overall_nest_success,os_lwr,os_upr,overall_predation_rate,op_lwr,op_upr,uncertainty,exposure_days,estimation_method,nest_exposure_interval,nest_search_frequency,nest_check_frequency,when_most_nests_found,incubation_period,egg_laying_period,incubation+laying_period,study_anomaly,comments,nest level data in 'nests',Data quality
rlanctot,58,Tryngites_subruficollis,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1990,1992,17,14,,,,,,3,,,,,,,,,0.75,0.74,0.76,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,24,,,no,,no,5
rlanctot,58,Calidris_alpina,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,8,7,,,,,,1,,,,,,,,,0.84,0.82,0.86,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,22,,,no,,no,5
rlanctot,58,Calidris_himantopus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,7,6,,,,,,1,,,,,,,,,0.79,0.77,0.81,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Calidris_melanotos,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,15,12,,,,,,3,,,,,,,,,0.7,0.68,0.72,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,23,,,no,,no,5
rlanctot,58,Calidris_pusilla,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,44,37,,,,,,7,,,,,,,,,0.77,0.76,0.78,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Limnodromus_scolopaceus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,3,3,,,,,,0,,,,,,,,,0.5,0.44,0.56,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,21,,,no,,no,5
rlanctot,58,Phalaropus_fulicarius,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,7,7,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,20,,,no,,no,5
rlanctot,58,Phalaropus_lobatus,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,5,5,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,19,,,no,,no,5
rlanctot,58,Pluvialis_dominica,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,9,6,,,,,,3,,,,,,,,,0.54,0.51,0.57,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,26,,,no,,no,5
rlanctot,58,Pluvialis_squatarola,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1991,1992,4,4,,,,,,0,,,,,,,,,1,1,1,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,27,,,no,,no,5
