"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR"
"Pluvialis_fulva","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",33.25,"133",1,5,NA,2,3,8,0.5,108.0625,"1972-1980",1976,9,"Kondrjatev 1982",0.0092539039907461,0.265910871813511
"Pluvialis_squatarola","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",31.75,"133",3,25,NA,1,4,29,0.5,428.625,"1972-1980",1976,9,"Kondrjatev 1982",0.00699912510936133,0.199887991642606
"Tringa_erythropus","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",27.75,"133",0,15,NA,2,2,17,0.5,222,"1975-1980",1977.5,6,"Kondrjatev 1982",0,0
"Pluvialis_squatarola","Wrangel Island, Chukotka",71.333,-179.5,"Arctic","after",NA,NA,"YES","NA",31.75,"134",4,13,NA,2,6,19,0.5,254,"2007-2007",2007,1,"Tomkovich & Dondua 2011",0.015748031496063,0.395877831464001
"Charadrius_aquilonius","Matakana Island",-37.557,176.058,"South temperate","before",NA,NA,"YES","NA",33,"135",85,77,0,75,160,237,0.9,4603.5,"1992-2000",1996,7,"Wills et al. 2003",0.0184642120125991,0.459366950270819
"Charadrius_aquilonius","Matakana Island",-37.557,176.058,"South temperate","after",NA,NA,"YES","NA",33,"135",14,20,0,5,19,39,0.9,861.3,"1992-2000",1996,1,"Wills et al. 2003",0.0162544990131197,0.417721099464564
"Charadrius_hiaticula","Lindisfarne NNR, North Englang",55.667,-1.833,"North temperate","before",0.942666666666667,NA,"NO, YES","Fail_is_depr, NA",28,"136",101,59,1,8,110,169,0.5,2208,"1974-1977",1975.5,3,"Messrs Heywood, Watts, Thompson & Chester (pers. comm. & Nest Record Cards) in Pienkowski 1984, P. A. Snell (pers. comm.) in Pienkowski 1984, Pienkowski 1984",0.0457427536231884,0.730453893221043
"Charadrius_hiaticula","Cyrus NNR, Scotland",56.76,-2.418,"North temperate","before",0.9158,NA,"NO","NA",28,"136",74,NA,NA,9,83,83,0.5,464.5,"1974-1975",1974.5,2,"N. K. Atkinson (pers. comm.) in Pienkowski 1984",0.159311087190527,0.992241300051844
"Charadrius_hiaticula","Mestersvig, Scoresby Land,",72.233,-23.917,"Arctic","before",0.967,NA,"NO","NA",28,"136",6,7,0,0,6,13,0.5,182,"1974-1974",1974,1,"Pienkowski 1984",0.032967032967033,0.608838741066708
"Calidris_alpina","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",25,"137",0,13,0,0,0,13,0.5,162.5,"1964-1967",1965.5,4,"Jehl 1971",0,0
"Calidris_himantopus","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",24,"137",5,38,0,0,5,43,0.5,486,"1964-1967",1965.5,4,"Jehl 1971",0.0102880658436214,0.21979025458889
"Calidris_minutilla","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",24,"137",6,46,1,3,10,56,0.5,612,"1964-1967",1965.5,4,"Jehl 1971",0.00980392156862745,0.210578685027231
"Calidris_pusilla","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",23.5,"137",0,8,0,0,0,8,0.5,94,"1964-1967",1965.5,4,"Jehl 1971",0,0
"Charadrius_semipalmatus","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",28,"137",0,14,0,1,1,15,0.5,196,"1964-1967",1965.5,4,"Jehl 1971",0,0
"Gallinago_gallinago","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",23,"137",2,1,0,0,2,3,0.5,23,"1964-1967",1965.5,4,"Jehl 1971",0.0869565217391304,0.876603298588567
"Limnodromus_griseus","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",25,"137",0,8,0,0,0,8,0.5,100,"1964-1967",1965.5,4,"Jehl 1971",0,0
"Limosa_haemastica","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",27,"137",1,11,0,0,1,12,0.5,155.25,"1964-1967",1965.5,4,"Jehl 1971",0.00644122383252818,0.160102624606045
"Numenius_phaeopus","Churchill, Manitoba",58.698,-93.942,"North temperate","before",0.980666666666667,NA,"YES, NO","NA",29,"137, 178",9,14,0,2,11,25,0.5,1121,"1964-1976",1972.25,13,"Jehl 1971, Skeel 1983",0.008028545941124,0.208454170764893
"Phalaropus_lobatus","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",22.5,"137",1,3,0,0,1,4,0.5,39.375,"1964-1967",1965.5,4,"Jehl 1971",0.0253968253968254,0.43943498741921
"Pluvialis_dominica","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",32.25,"137",0,3,1,4,5,8,0.5,64.5,"1964-1967",1965.5,4,"Jehl 1971",0,0
"Tringa_flavipes","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",NA,"137",0,2,0,1,1,3,0.5,0,"1964-1967",1965.5,4,"Jehl 1971",NA,NA
"Tringa_solitaria","Churchill, Manitoba",58.698,-93.942,"North temperate","before",NA,NA,"YES","NA",NA,"137",1,0,0,0,1,1,0.5,0,"1964-1967",1965.5,4,"Jehl 1971",NA,NA
"Calidris_minutilla","Graham Island, British Columbia",54.017,-132.133,"North temperate","before",NA,NA,"YES","NA",24,"138",93,201,NA,50,143,344,0.6,3765.6,"1984-1988",1986,5,"Cooper & Miller 1997",0.0246972594008923,0.451285205272282
"Charadrius_semipalmatus","Graham Island, British Columbia",54.017,-132.133,"North temperate","before",NA,NA,"YES","NA",28,"138",12,26,NA,9,21,47,0.6,579.6,"1984-1988",1986,5,"Cooper & Miller 1997",0.020703933747412,0.443337097644485
"Charadrius_vociferus","Graham Island, British Columbia",54.017,-132.133,"North temperate","before",NA,NA,"YES","NA",28.55,"138",5,2,NA,1,6,8,0.6,77.085,"1984-1988",1986,5,"Cooper & Miller 1997",0.0648634624116235,0.852605257147748
"Charadrius_placidus","Tama River, Nagata district",35.741,139.317,"North temperate","after",NA,NA,"YES","Fail_is_depr",29,"139",17,19,NA,NA,17,36,0.6,478.5,"2001-2006",2003.5,4,"Katayama et al. 2010",0.0355276907001045,0.649729845260358
"Actitis_hypoleucos","Orlice",50.195,15.977,"North temperate","before",NA,NA,"YES","NA",25.5,"140",4,19,NA,10,14,33,0.5,325.125,"1977-1988",1982.5,12,"Dolanský & Ždárek 2001",0.0123029603998462,0.270700899697935
"Charadrius_dubius","Orlice",50.195,15.977,"North temperate","before",NA,NA,"YES","NA",28.5,"140",0,17,NA,23,23,40,0.5,377.625,"1976-1989",1982.5,14,"Dolanský & Ždárek 2001",0,0
"Charadrius_dubius","T?ebo?sko",49.0343,14.799,"North temperate","before",NA,NA,"YES","NA",28.5,"141",20,41,NA,20,40,81,0.5,869.25,"1999-2003",2001,5,"Cepáková et al. 2007, Cepáková et al. In litt.",0.0230083405234397,0.484902548315377
"Charadrius_wilsonia","Laguna Atascosa National Wildlife Refuge, Texas",26.267,-97.367,"North tropics","before",NA,NA,"YES","Fail_is_depr",27.5,"142",23,6,NA,NA,23,29,0.5,240.625,"1979-1979",1979,1,"Bergstrom 1982",0.0955844155844156,0.936886680190409
"Charadrius_wilsonia","Matagorda Island, Texas",28.164,-96.741,"North tropics","before",NA,NA,"YES","Fail_is_depr",27.5,"142",15,14,NA,NA,15,29,0.5,295.625,"1980-1980",1980,1,"Bergstrom 1982",0.0507399577167019,0.761167729528556
"Charadrius_wilsonia","St. Martin, Lesser Antilles",18.062,-63.046,"North tropics","after",NA,NA,"YES","NA",27.5,"143",10,13,NA,3,13,26,0.6,321.75,"2004-2004",2004,1,"Brown & Brindock 2011",0.0310800310800311,0.580320814106607
"Bartramia_longicauda","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",27,"144",204,413,NA,NA,204,617,0.5,6952.5,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0293419633225458,0.552504289723353
"Catoptrophorus_semipalmatus / Tringa semipalmata","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",27.5,"144",38,41,NA,NA,38,79,0.5,825,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0460606060606061,0.726585492473286
"Charadrius_melodus","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",31,"144",3,6,NA,NA,3,9,0.5,116.25,"1963-1991",1977,29,"kantrud & Higgins 1992",0.0258064516129032,0.555365944906459
"Charadrius_vociferus","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",28.55,"144",49,86,NA,NA,49,135,0.5,1577.3875,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0310640219983992,0.593814331052412
"Gallinago_delicata","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",23,"144",7,17,NA,NA,7,24,0.5,235.75,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0296924708377519,0.500061905503685
"Limosa_fedoa","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",28,"144",17,26,NA,NA,17,43,0.5,483,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0351966873706004,0.633321027019883
"Steganopus_tricolor (Phalaropus tricolor)","North Dacota + some data also from South Dacota, Manitoba and Montana",47.551,-101.002,"North temperate","before",NA,NA,"YES","Fail_is_depr",27,"144",56,80,NA,NA,56,136,0.5,1458,"1963-1991",1977,29,"Kantrud & Higgins 1992",0.0384087791495199,0.65266926087676
"Charadrius_melodus","Missouri 95 km, South Dakota/Nebraska",42.765,-97.062,"North temperate","after",NA,NA,"YES","NA",31,"145",83,309,NA,171,254,563,0.5,6424.75,"2005-2007",2006,3,"Catlin et al. 2011",0.0129187906144208,0.331749303400348
"Charadrius_melodus","Freshwarter lake and surrounding, Alberta",52.617,-109.983,"North temperate","before",0.9698,NA,"YES","Fail_is_depr",31,"146",35,33,NA,NA,35,68,0.6,939.3,"1996-1997",1996.5,2,"Richardson 1999",0.0372617906951986,0.691855469398628
"Charadrius_melodus","Chaplin Lake, Saskatchewan",50.433,-106.667,"North temperate","after",0.98,NA,"YES","NA",31,"147",39,134,0,7,46,180,0.6,2883,"2002-2004",2003,3,"White 2005",0.0135275754422477,0.344408310372874
"Charadrius_thoracicus","Marambitsy Bay",-15.966667,45.590556,"South tropics","after",NA,NA,"YES","NA",29,"148",9,0,NA,1,10,10,0.5,72.5,"2004-2005",2004.5,1,"Zefania et al. 2008",0.124137931034483,0.978589054653058
"Charadrius_thoracicus","Tsimanampetsotsa ",-24.145,43.829,"South tropics","after",NA,NA,"YES","NA",29,"148",22,20,2,30,54,74,0.9,1135.35,"2004-2005",2004.5,1,"Zefania et al. 2008",0.0193772845378077,0.433034639669277
"Charadrius_sanctaehelenae","St. Helena Island",-15.967,-5.717,"South tropics","after",0.95,NA,"YES","NA",28,"149",103,65,NA,5,108,173,0.5,1638,"2007-2010",2008.5,4,"Burns et al. 2013",0.0628815628815629,0.837727283340122
"Charadrius_alexandrinus","Miklapuzsta",46.667,19.167,"North temperate","before",NA,NA,"YES","Fail_is_depr",29,"150",52,16,NA,NA,52,68,0.5,609,"1991-1992",1991.5,2,"Székely et al. 1994",0.0853858784893268,0.92485515833784
"Charadrius_dubius","Castel Porziano, near Rome",41.687,12.375,"North temperate","before",NA,NA,"YES","NA",28.5,"151",3,NA,NA,NA,3,3,0.5,21.375,"1991-1994",1992.5,4,"Pietrelli et al. 2001",0.140350877192982,0.986567560469896
"Charadrius_alexandrinus","Castel Porziano, near Rome",41.687,12.375,"North temperate","before",NA,NA,"YES","NA",29,"151",28,NA,NA,NA,28,28,0.5,203,"1991-1994",1992.5,4,"Pietrelli et al. 2001",0.137931034482759,0.986488041197394
"Charadrius_alexandrinus","Al Wathba Wetland Reserve",24.258,54.604,"North tropics","after",NA,NA,"YES","NA",29,"152",128,69,NA,NA,128,197,0.5,1928.5,"2005-2006",2005.5,2,"Kozstolány et al. 2009",0.0663728286232823,0.863531947889157
"Charadrius_alexandrinus","Farasan Islands",16.681,42.114,"North tropics","after",NA,NA,"YES","NA",29,"153",158,32,NA,6,164,196,0.5,1631.25,"2007-2009",2008,3,"Al Rashidi et al. 2011",0.0968582375478927,0.947889909493993
"Charadrius_nivosus","Ceuta",23.9,-106.95,"North tropics","after",NA,NA,"YES","NA",29,"154, 513",141,429,24,137,302,731,0.5,9372.8,"2006-2016",2011.27272727273,11,"Carmona-Isunza et al.2015, Medardo Cruz López et al. In litt.",0.0150435302150905,0.355691174456606
"Charadrius_alexandrinus","Maio ",15.2,-23.168,"North tropics","after",NA,NA,"YES","NA",29,"154",NA,NA,NA,NA,NA,NA,0.5,0,"2013-2013",2013,1,"Carmona-Isunza et al.2015",NA,NA
"Charadrius_alexandrinus","Jabal lagoons",27.065,49.484,"North tropics","after",NA,NA,"YES","NA",29,"155",9,2,NA,1,10,12,0.5,101.5,"2015-2015",2015,1,"Al Rashidi 2016",0.0886699507389163,0.93229900926259
"Charadrius_nivosus","Great Salt Lake, Utah",41.083,-112.117,"North temperate","before",NA,NA,"YES","NA, Fail_is_depr",29,"156",219,170,0,24,243,413,0.6,5072.1,"1990-1993",1991.5,4,"Paton 1994",0.0431773821494056,0.721957264757216
"Charadrius_nivosus","Laguna Atascosa National Wildlife Refuge, Texas",26.267,-97.367,"North tropics","before",NA,NA,"YES","NA",29,"157",45,16,NA,6,51,67,0.6,722.1,"1995-1996",1995.5,2,"Rupert 1997",0.0623182384711259,0.845257861190559
"Charadrius_nivosus","Monterey Bay, California",36.727,-121.796,"North temperate","before",NA,NA,"YES","NA",29,"158",303,761,10,210,523,1284,0.5,14304.25,"1984-1999",1991.5,16,"Neuman 2003",0.0211825156858975,0.462535438009444
"Charadrius_nivosus"," California, Eden Landing Ecological Reserve",37.587,-122.118,"North temperate","after",0.9625,NA,"YES","NA",29,"159",123,98,NA,13,136,234,0.6,2844.9,"2009-2010",2009.5,2,"Demers & Robinson-Nilsen 2012",0.0432352631023938,0.722444620435712
"Charadrius_ruficapillus","Cheetham Wetlands, Victoria",-37.885,144.799,"South temperate","after",NA,NA,"YES","NA",28,"160",42,28,NA,NA,42,70,0.5,686,"2012-2013",2012.5,1,"Tan et al. 2015",0.0612244897959184,0.829498169356279
"Charadrius_peronii","Khao Sam Roi Yod National Park",12.197,99.993,"North tropics","after",NA,NA,"YES","NA",28,"161",40,49,NA,NA,40,89,0.5,966,"2004-2005",2004.5,2,"Yasué et al. 2007",0.041407867494824,0.693981214336672
"Charadrius_bicinctus","Ohau River, South Island",-44.333,170.194,"South temperate","before",NA,NA,"YES","NA",31,"162",11,NA,NA,NA,11,11,0.5,85.25,"1998-2000",1999,3,"Keedwell & Sanders 2002",0.129032258064516,0.986194117270489
"Thinornis_rubricollis","Mornington Peninsula NP, Victoria",-38.388,144.786,"South temperate","before",NA,NA,"YES","NA",30,"163",3,68,NA,59,62,130,0.5,1462.5,"1991-1997",1994,7,"Dowling & Weston 1999",0.00205128205128205,0.0597426497771085
"Thinornis_rubricollis","Phillip Island, southern Victoria",-38.48,145.224,"South temperate","before",NA,NA,"YES","NA",30,"164",21,13,NA,13,34,47,0.6,540,"1992-1996",1994,5,"Baird & Daan 2003",0.0388888888888889,0.6957658645987
"Thinornis_novaeseelandiae","Rangatira (South East) island",-44.347,-176.175,"South temperate","before",NA,NA,"YES","NA",31.9,"165",NA,NA,NA,NA,NA,NA,0.5,0,"1984-1985",1984.5,2,"Davis 1994",NA,NA
"Rostratula_benghalensis","I-Lan (in the city!!!)",24.717,121.717,"North tropics","after",NA,NA,"YES","NA",23,"166",2,12,0,3,5,17,0.6,200.1,"2005-2005",2005,1,"Hsu & Severinghaus 2011",0.00999500249875063,0.206293569792679
"Actophilornis_africanus","Deelkraal Dam, Transvaal",-24.672,28.66,"South tropics","before",NA,NA,"YES","Fail_is_depr",25.5,"167",73,26,NA,NA,73,99,0.5,796.875,"1974-1988",1981,4,"Tarboton 1994",0.0916078431372549,0.913707890956835
"Metopidius_indicus","Vembanur",9.183,77.383,"North tropics","before",NA,NA,"YES","NA",29,"168",17,1,0,0,17,18,0.9,247.95,"1995-1997",1996,3,"Butchart 2000",0.0685622101230087,0.87251421435009
"Jacana_jacana","Burma willage 65 km from Georgetown",6.464,-57.76,"North tropics","before",NA,NA,"YES","NA",32,"169",4,8,0,40,44,52,0.6,537.6,"1977-1977",1977,1,"Osborne 1982",0.00744047619047619,0.212573642893736
"Scolopax_rusticola","Central & S England",51.725193,-1.405592,"North temperate","before",0.96725,NA,"NO","1-DSR",26.3,"170",NA,NA,NA,NA,NA,NA,0.5,2866,"1945-1989",1970.75,45,"Hoodles & Coulson 1998",0.0327500000000001,0.58344838773953
"Scolopax_rusticola","England, Scotland, Wales",54.285,-2.691,"North temperate","before",0.966333333333333,NA,"NO","1-DSR",26.3,"170",NA,NA,NA,NA,NA,NA,0.5,3170,"1945-1989",1972,45,"Hoodles & Coulson 1998",0.0336666666666667,0.593707257498792
"Scolopax_rusticola","N England",53.706973,1.739997,"North temperate","before",0.963,NA,"NO","1-DSR",26.3,"170",NA,NA,NA,NA,NA,NA,0.5,937,"1945-1989",1972,45,"Hoodles & Coulson 1998",0.037,0.629002185393105
"Scolopax_rusticola","Scotland",56.623632,-4.263176,"North temperate","before",0.969,NA,"NO","1-DSR",26.3,"170",NA,NA,NA,NA,NA,NA,0.5,800,"1945-1989",1972,45,"Hoodles & Coulson 1998",0.031,0.563167103332155
"Scolopax_minor","Swatara State Park, Pennsylvania",40.525,-76.464,"North temperate","after",NA,NA,"YES","NA",24.25,"171",3,9,NA,1,4,13,0.5,133.375,"2009-2010",2009.5,2,"Miller & Jordan 2011",0.0224929709465792,0.424020126247596
"Coenocorypha_pusilla","Snares Islands Nature reserve",-48.03333,166.6,"South temperate","before",NA,NA,"YES","NA",NA,"172",0,8,0,1,1,9,0.9,0,"1983-1986",1984.5,4,"Miskelly 1990",NA,NA
"Coenocorypha_aucklandica","Snares Islands Nature reserve",-48.03333,166.6,"South temperate","before",NA,NA,"YES","NA",26,"172",0,32,0,8,8,40,0.9,760.5,"1982-1987",1984.5,6,"Miskelly 1990",0,0
"Gallinago_gallinago","whole country, centre",53.709,27.953,"North temperate","after",NA,NA,"YES","NA",23,"173",2,13,NA,4,6,19,0.6,220.8,"2000-2001",2000.5,2,"Mongin 2002",0.00905797101449275,0.188834039283984
"Gallinago_media","whole country, centre",53.709,27.953,"North temperate","after",NA,NA,"YES","NA",NA,"173",2,3,NA,4,6,9,0.6,0,"2000-2001",2000.5,2,"Mongin 2002",NA,NA
"Gallinago_gallinago","Kaliningrad",54.719,20.738,"North temperate","after",NA,NA,"YES","NA",23,"174",2,23,NA,7,9,32,0.5,316.25,"2000-2003",2001.5,4,"Yarovikova 2003",0.00632411067193676,0.135770075396533
"Limosa_limosa","Wormer & Jisperveld reserve, Noord-Holland",52.517,4.783,"North temperate","before",0.98,NA,"YES","NA",27,"175",136,236,NA,48,184,420,0.5,4104,"1984-1987",1985.5,4,"Groen & Hemerik 2002",0.0331384015594542,0.597434635098506
"Limosa_limosa","Selenga delta, Bajkal",52.293,106.501,"North temperate","after",0.873,NA,"NO","Fail_is_depr",27,"176",20,1,NA,NA,20,21,0.5,110,"2002-2002",2002,1,"Groen et al. 2006",0.181818181818182,0.995564472710389
"Limosa_lapponica","Kautokeino",69,24,"Arctic","before",NA,NA,"YES","NA",24.75,"177",3,11,NA,1,4,15,0.6,185.625,"1987-1990",1988.5,4,"Larsen & Moldsvor 1992",0.0161616161616162,0.33186670188819
"Numenius_phaeopus","Kautokeino",69,24,"Arctic","before",NA,NA,"YES","NA",29,"177",13,7,NA,NA,13,20,0.6,234.9,"1987-1990",1988.5,4,"Larsen & Moldsvor 1992",0.0553426990208599,0.808153324304654
"Numenius_phaeopus","Värriö Subarctic Research Station",67.733,29.617,"Arctic","before",0.985,NA,"YES","NA",29,"179",5,24,0,0,5,29,0.5,384.25,"1968-1990",1979,23,"Pulliainen & Saari 1993",0.0130123617436565,0.316025854815484
"Numenius_phaeopus","South-west Iceland",63.764,-20.068,"Arctic","after",0.945,NA,"YES","NA",29,"180, 509",35,22,NA,2,37,59,0.5,572.75,"2009-2010",2009.5,2,"Katrínardóttir et al. 2015, Katrínardóttir in litt.",0.0611086861632475,0.839363469771816
"Numenius_arquata","Västmanland (central Sweeden)",59.817,16.55,"North temperate","before",0.964,NA,"NO","NA",33.8,"181",42,34,NA,31,73,107,0.5,1683,"1987-1989",1988,3,"Berg 1992",0.0249554367201426,0.574375205460123
"Numenius_arquata","Antrim, Northern Ireland",54.821,-6.058,"North temperate","before",0.902833333333333,0.0971666666666667,"NO","NA",33.8,"182",114,67,NA,10,124,191,0.5,1628.5,"1993-1995",1994,3,"Grant et al. 1999",0.0700030703101013,0.913964992845248
"Numenius_arquata","Lough Erne,  Northern Ireland",54.303,-7.616,"North temperate","before",0.87925,0.12075,"NO","NA",33.8,"182",84,74,NA,10,94,168,0.5,1735.5,"1994-1995",1994.5,2,"Grant et al. 1999",0.0484010371650821,0.813042088176016
"Numenius_arquata","Kauhava",63.083,22.933,"Arctic","before",NA,0.004,"NO","NA",33.8,"183",3,63,NA,NA,3,66,0.5,1232,"1995-1997",1996,3,"Valkama et al. 1999",0.00243506493506494,0.0791016030758416
"Numenius_arquata","Vammala",61.367,22.833,"Arctic","before",NA,0.0526666666666667,"NO","NA",33.8,"183",34,19,NA,NA,34,53,0.5,659,"1995-1997",1996,3,"Valkama et al. 1999",0.0515933232169954,0.833114896291778
"Numenius_madagascariensis","Bureya–Khingan lowland, Amur",49.397,129.908,"North temperate","before",NA,NA,"YES","Fail_is_depr",33.8,"184",6,16,NA,1,7,23,0.5,329.55,"1997-2007",2002,11,"Antonov 2010, A. I. Antonov in litt.",0.0182066454255803,0.462623116218237
"Numenius_americanus","Middleton, Idaho",43.868,-116.733,"North temperate","before",0.971633333333333,NA,"NO","NA",33,"185",42,70,0,7,49,119,0.5,1746,"1977-1979",1978,3,"Redmond & Jenni 1986",0.0240549828178694,0.552248978814577
"Xenus_cinereus","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES","NA",27,"186",1,11,NA,1,2,13,0.5,162,"1982-1982",1982,1,"Larionov 2015",0.00617283950617284,0.153955395435165
"Tringa_glareola","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES","NA",26.5,"186",1,13,NA,3,4,17,0.5,198.75,"1978-1982",1980,5,"Larionov 2015",0.0050314465408805,0.125121178996558
"Tringa_stagnatilis","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES","NA",26,"186",2,27,NA,4,6,33,0.5,390,"1978-1982",1980,5,"Larionov 2015",0.00512820512820513,0.125126860890786
"Tringa_nebularia","north Sutherland, Scotland",58.533,-4.232,"North temperate","before",NA,NA,"YES","NA",28.3,"187, 508",18,45,NA,8,26,71,0.5,918.335,"1983-2007",1993.25,25,"Christian & Hancock 2009, Hancock in litt.",0.0196006903798723,0.428909667744053
"Tringa_glareola","Värriö Subarctic Research Station",67.733,29.617,"Arctic","before",NA,NA,"NO","NA",26.5,"188",3,15,NA,8,11,26,0.5,151,"1970-1987",1978.5,18,"Pulliainen & Saari 1991",0.0198675496688742,0.412447938074416
"Actitis_hypoleucos","Sedbergh, England",54.505,-3.051,"North temperate","before",NA,NA,"YES","NA",25.5,"189",2,24,0,1,3,27,0.5,325.125,"1937-1951",1944,6,"Cuthbertson et al. 1952",0.00615148019992311,0.145592644549729
"Actitis_hypoleucos","Alport and Ashop river",53.403,-1.789,"North temperate","before",NA,NA,"YES","Fail_is_depr",25.5,"190",20,62,NA,NA,20,82,0.5,918,"1967-1980",1973.5,6,"Holland et al. 1982",0.0217864923747277,0.429759295739861
"Actitis_macularius","Milwaukee, Wisconsin",42.995,-87.882,"North temperate","before",NA,NA,"YES","Fail_is_depr",24.5,"191",2,19,NA,1,3,22,0.9,452.025,"1943-1944",1943.5,1,"Cialdini & Orians 1944",0.00442453404125878,0.102948141996057
"Actitis_macularius","Belle isle, Detroit river, Michigan",42.34,-82.979,"North temperate","before",NA,NA,"YES","NA",24.5,"192",1,29,0,9,10,39,0.9,749.7,"1947-1947",1947,1,"Miller & Miller 1948",0.00133386688008537,0.0321726385042224
"Actitis_macularius","Great Gull Island, New York",41.203,-72.119,"North temperate","before",NA,NA,"YES","NA",24.5,"193",1,24,NA,NA,1,25,0.5,300.125,"1970-1971",1970.5,2,"Hays 1972",0.00333194502290712,0.0785151602028179
"Actitis_macularius","near La Salle lagoon, Minnesota",47.336,-95.193,"North temperate","before",NA,NA,"YES","NA",24.5,"194",7,7,NA,5,12,19,0.9,264.6,"1970-1972",1971,3,"Oring & Knudson 1972",0.0264550264550265,0.481531397453831
"Actitis_macularius","Little Pelican Island, Minesotta",47.112,-94.372,"North temperate","before",NA,NA,"YES","NA",24.5,"195",82,157,NA,NA,82,239,0.9,4365.9,"1975-1990",1982.5,16,"Alberico et al. 1991",0.0187819235438283,0.371571692759533
"Arenaria_interpres","Southampot Island, East Bay migratory bird sanctuary",64.017,-81.783,"Arctic","after",0.97,NA,"NO","NA",25.9,"196, 132",55,68,0,7,62,130,0.5,1363,"2000-2014",2006.75,8,"Arctic Shorebird Demographics Network 2016, Perkins et al. 2007",0.0403521643433602,0.65588951701188
"Calidris_tenuirostris","Anadyr surrounding",64.844,178.314,"Arctic","before",NA,NA,"YES","NA",25.95,"197",4,13,NA,1,5,18,0.6,233.55,"1993-1995",1994,3,"Tomkovich 2001",0.0171269535431385,0.361283418077492
"Calidris_alba","Bathurst Island",75.728,-99.094,"Arctic","before",NA,NA,"YES","NA",30.5,"198",3,6,NA,NA,3,9,0.5,114.375,"1968-1969",1968.5,2,"Parmelee 1970",0.0262295081967213,0.555443869003623
"Calidris_pusilla","La Perouse Bay, Manitoba",58.735744,-93.302804,"North temperate","before",NA,NA,"YES","Fail_is_depr",23.5,"200",111,102,NA,NA,111,213,0.5,1850.625,"1980-1982",1981,3,"Gratto and Cooke 1983",0.0599797365754813,0.766264561332007
"Calidris_mauri","Kolomak river, Alaska",61.725,-165.523,"Arctic","before",NA,NA,"YES","Fail_is_depr",25,"202",35,180,NA,NA,35,215,0.5,2468.75,"1966-1969",1967.5,3,"Holmes 1972",0.0141772151898734,0.300204268785886
"Calidris_ruficollis","Uelen, Chukotka",66.0996666666667,-170.101666666667,"Arctic","before",NA,NA,"YES","Fail_is_depr",25.5,"203",23,28,NA,NA,23,51,0.9,906.525,"1978-1980",1979,3,"Morozov & Tomkovich 1988",0.0253716113731006,0.480726740551415
"Calidris_temminckii","Botnic Bay around Oulu",65.021,24.72,"Arctic","before",0.948,NA,"YES","NA",24.8,"204",179,144,NA,45,224,368,0.5,3031.8,"1983-2001",1992,19,"Rönkä et al. 2003",0.0590408338280889,0.778917037845428
"Calidris_temminckii","Botnic Bay around Oulu",65.021,24.72,"Arctic","after",NA,NA,"YES","NA",24.8,"205",51,102,NA,NA,51,153,0.9,2845.8,"2003-2006",2004.5,4,"Thompson et al. 2014",0.017921146953405,0.36139881989438
