"check nest_search, when_found","who","source_id","species","ref_abb","locality","start_year","year","end_year","nests_hatched","nests_predated","nests_abandoned","nests_infertile","nests_failed_other_cause","nests_unknown_fate","prop_hatched","prop_predated","daily_survival_rate","ds_lwr","ds_upr","daily_predation_rate","dp_lwr","dp_upr","overall_nest_success","os_lwr","os_upr","overall_predation_rate","op_lwr","op_upr","uncertainty","exposure_days","estimation_method","nest_exposure_interval","nest_search_frequency","nest_check_frequency","when_most_nests_found","incubation_period","egg_laying_period","incubation+laying_period","study_anomaly","comments","nest level data in 'nests'","Data quality","Incubation_days","DPR_assumption","obs_time","years_nr","mean_year","Failed_together","N.nests","DPRtrans","DPR_source","DPR","period","Latitude","Belt"
NA,"dsolovyeva",133,"Phalaropus_fulicarius","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1972,"all",1980,51,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,NA,0.5,9,1976,47,98,"YES",NA,0.049452490286118,"before",68.61,"Arctic"
NA,"dsolovyeva",133,"Phalaropus_lobatus","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1972,"all",1980,29,18,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,0.5,9,1976,23,52,"YES",NA,0.0395061728395062,"before",68.61,"Arctic"
NA,"dsolovyeva",133,"Philomachus_pugnax","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1972,"all",1980,26,14,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,0.5,9,1976,17,43,"YES",NA,0.0318272236430804,"before",68.61,"Arctic"
NA,"dsolovyeva",133,"Pluvialis_fulva","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1972,"all",1980,5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.25,NA,0.5,9,1976,3,8,"YES",NA,0.0092539039907461,"before",68.61,"Arctic"
NA,"dsolovyeva",133,"Pluvialis_squatarola","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1972,"all",1980,25,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,NA,0.5,9,1976,4,29,"YES",NA,0.00699912510936133,"before",68.61,"Arctic"
NA,"dsolovyeva",133,"Tringa_erythropus","Kondrjatev 1982","Bay of Chaun and Koljuchinskaja",1975,"all",1980,15,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.75,NA,0.5,6,1977.5,2,17,"YES",NA,0,"before",68.61,"Arctic"
NA,"rlanctot",134,"Pluvialis_squatarola","Tomkovich & Dondua 2011","Wrangel Island, Chukotka",2007,"2007",2007,11,3,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.4375,NA,NA,NA,NA,NA,NA,NA,NA,"no","paper in Russia, minimal data inferred from figure legends","no",2,31.75,"Fail_is_depr",0.5,1,2007,3,14,"YES",NA,0.0151181102362205,"after",71.333,"Arctic"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1992",2000,4,14,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.1,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,18,22,"YES",NA,0.0362600362600363,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1993",2000,8,2,0,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.9,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,18,26,"YES",NA,0.00396118043176867,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1994",2000,9,9,2,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.15,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,21,30,"YES",NA,0.0155400155400155,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1995",2000,13,19,1,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.6,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,30,43,"YES",NA,0.0228475228475228,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1996",2000,12,23,1,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.45,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,33,45,"YES",NA,0.0271723078740623,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1997",2000,14,14,0,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.6,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,28,42,"YES",NA,0.0168350168350168,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"1999",2000,17,4,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623.7,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,8,25,"YES",NA,0.00641333974667308,"before",-37.557,"South temperate"
NA,"apintaric",135,"Charadrius_aquilonius","Wills et al. 2003","Matakana Island",1992,"2000",2000,20,14,1,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.3,NA,NA,"daily","daily",NA,"30",NA,NA,"yes","Managed and unmanaged areas. Management included shifting nests to avoid flooding, predator exclosures, predator traps, predator poisoning, and public education.",NA,NA,33,NA,0.9,9,1996,18,38,"YES",NA,0.0162544990131197,"after",-37.557,"South temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","Messrs Heywood, Watts, Thompson & Chester (pers. comm. & Nest Record Cards) in Pienkowski 1984","Lindisfarne NNR, North Englang",1975,"1975",1975,NA,7,NA,NA,0,NA,NA,NA,0.9639,"0.9381","0.9897",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",194,"mayfield","observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,"Fail_is_depr",0.5,1,1975,7,NA,"NO",NA,0.0360824742268041,"before",55.667,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","N. K. Atkinson (pers. comm.) in Pienkowski 1984","Cyrus NNR, Scotland",1974,"1974",1975,NA,27,1,NA,4,NA,NA,NA,0.9585,"0.9199","0.9971",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",70.5,"mayfield","observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28,NA,0.5,2,1974.5,31,NA,"NO",NA,0.382978723404255,"before",56.76,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","N. K. Atkinson (pers. comm.) in Pienkowski 1984","Cyrus NNR, Scotland",1974,"1975",1975,NA,47,1,NA,3,NA,NA,NA,0.8731,"0.8335","0.9127",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",394,"mayfield","observed",NA,NA,NA,NA,NA,NA,"yes","details of loss cause (table VII) do not sum up to the total number of losses (table IV); higher predation possibly caused by smaller size of arctic tern colony in 1975, which help agains aerial predators (crows are the main cause of predation in the site)",NA,4,28,NA,0.5,2,1974.5,50,NA,"NO",NA,0.119289340101523,"before",56.76,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","P. A. Snell (pers. comm.) in Pienkowski 1984","Lindisfarne NNR, North Englang",1977,"1977",1977,30,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,NA,NA,NA,NA,NA,NA,NA,NA,"no","details in Table XI;",NA,3,28,"Fail_is_depr",0.5,1,1977,59,89,"YES",NA,0.070828331332533,"before",55.667,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","Pienkowski 1984","Lindisfarne NNR, North Englang",1974,"1975",1976,10,14,1,0,2,10,NA,NA,0.9364,"0.913","0.9598",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",393,"mayfield","observed",NA,NA,NA,NA,NA,NA,"no","specific study area differs between years (not really comparable?); 10 nests disappeared due to unknown cause; 5 more failed nests reported for year 1975 on Ross Back Sands and Old Law (Table VII), discrepancy with TableIV where the site is not included, data not entered",NA,3,28,NA,0.5,3,1975,16,26,"NO",NA,0.0356234096692112,"before",55.667,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","Pienkowski 1984","Lindisfarne NNR, North Englang",1974,"1976",1976,19,21,0,1,5,30,NA,NA,0.9277,"0.9102","0.9452",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",788,"mayfield","observed",NA,NA,NA,NA,NA,NA,"no","specific study area differs between years (not really comparable?); 30 nests disappeared due to unknown cause",NA,3,28,NA,0.5,3,1975,27,46,"NO",NA,0.0266497461928934,"before",55.667,"North temperate"
NA,"mcragnolini",136,"Charadrius_hiaticula","Pienkowski 1984","Mestersvig, Scoresby Land,",1974,"1974",1974,NA,6,0,0,0,0,NA,NA,0.967,"0.9415","0.9925",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95%CI",182,"mayfield","observed",NA,NA,NA,NA,NA,NA,"yes","exceptionally late season; ""Predators were the suspected cause of all nest losses at Mestersvig""; ""[...] rates of predation on wader eggs and young at Mestersvig were probably  higher than is typical  for NE Greenland, because of the higher density of predators around the station"", ""It is possible that tracks and activities of observers increased the predation rate on nests at Mestersvig""",NA,4,28,NA,0.5,1,1974,6,NA,"NO",NA,0.032967032967033,"before",72.233,"Arctic"
NA,"rlanctot",138,"Calidris_minutilla","Cooper & Miller 1997","Graham Island, British Columbia",1984,"all",1988,201,93,22,NA,28,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3765.6,NA,NA,"1-2 per week","every_2nd","early incubation",NA,NA,NA,"no",NA,"no",4,24,NA,0.6,5,1986,121,322,"YES",NA,0.0246972594008923,"before",54.017,"North temperate"
NA,"rlanctot",138,"Charadrius_semipalmatus","Cooper & Miller 1997","Graham Island, British Columbia",1984,"all",1988,26,12,4,NA,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.6,NA,NA,"1-2 per week","every_2nd","early incubation",NA,NA,NA,"no",NA,"no",4,28,NA,0.6,5,1986,17,43,"YES",NA,0.020703933747412,"before",54.017,"North temperate"
NA,"rlanctot",138,"Charadrius_vociferus","Cooper & Miller 1997","Graham Island, British Columbia",1984,"all",1988,2,5,1,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.085,NA,NA,"1-2 per week","every_2nd","early incubation",NA,NA,NA,"no",NA,"no",4,28.55,NA,0.6,5,1986,5,7,"YES",NA,0.0648634624116235,"before",54.017,"North temperate"
NA,"apintaric",139,"Charadrius_placidus","Katayama et al. 2010","Tama River, Nagata district",2001,"2002",2006,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,"0.23","1",NA,NA,NA,NA,87,"mayfield","incubation","1-2 per week","1-2 per week",NA,NA,NA,NA,"yes","Habitat was man-made gravel bar",NA,NA,29,"Fail_is_depr",0.6,6,2003.5,2,6,"YES",NA,0.0229885057471264,"after",35.741,"North temperate"
NA,"apintaric",139,"Charadrius_placidus","Katayama et al. 2010","Tama River, Nagata district",2001,"2003",2006,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1",NA,NA,NA,NA,52.2,"mayfield","incubation","1-2 per week","1-2 per week",NA,NA,NA,NA,"yes","Habitat was man-made gravel bar",NA,NA,29,"Fail_is_depr",0.6,6,2003.5,0,3,"YES",NA,0,"after",35.741,"North temperate"
NA,"apintaric",139,"Charadrius_placidus","Katayama et al. 2010","Tama River, Nagata district",2001,"2004",2006,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,"0.52","1",NA,NA,NA,NA,156.6,"mayfield","incubation","1-2 per week","1-2 per week",NA,NA,NA,NA,"yes","Habitat was man-made gravel bar",NA,NA,29,"Fail_is_depr",0.6,6,2003.5,2,10,"YES",NA,0.0127713920817369,"after",35.741,"North temperate"
NA,"apintaric",139,"Charadrius_placidus","Katayama et al. 2010","Tama River, Nagata district",2001,"2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,"0.0001","0.07",NA,NA,NA,NA,NA,"mayfield","incubation","1-2 per week","1-2 per week",NA,NA,NA,NA,"yes","Habitat was man-made gravel bar",NA,NA,29,NA,0.6,6,2003.5,NA,17,"YES",NA,NA,"after",35.741,"North temperate"
NA,"rlanctot",140,"Actitis_hypoleucos","Dolanský & Ždárek 2001","Orlice",1977,"all",1988,24,17,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in Russian? used abstract","no",2,25.5,"Fail_is_depr",0.5,12,1982.5,17,41,"YES",NA,0.041025641025641,"before",50.195,"North temperate"
NA,"rlanctot",140,"Charadrius_dubius","Dolanský & Ždárek 2001","Orlice",1977,"all",1988,22,29,NA,NA,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in Russian? used abstract","no",2,28.5,"Fail_is_depr",0.5,12,1982.5,29,51,"YES",NA,0.0557558279259793,"before",50.195,"North temperate"
NA,"mcragnolini",141,"Charadrius_dubius","Cepáková et al. 2007, Cepáková et al. In litt.","T?ebo?sko",1999,"all",2003,41,20,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379,NA,NA,NA,NA,NA,NA,869.25,"mayfield","incubation",NA,"less than weekly",NA,"24",NA,NA,NA,"comparison between fishponds and fields; overall nest success is average of 2 site types; fate of nests is not clear for all, but the number of depredated nest is confirmed ""Predation was the main cause of nest loss in fishponds (20 out of 41 lost nests, 48.8%), but no nest predation was recorded in fields.""",NA,4,28.5,NA,0.5,5,2001,40,81,"YES",NA,0.0230083405234397,"before",49.0343,"North temperate"
NA,"rlanctot",142,"Charadrius_wilsonia","Bergstrom 1982","Laguna Atascosa National Wildlife Refuge, Texas",1979,"1979",1979,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,240.625,"mayfield","observed",NA,NA,NA,"25","5",NA,"no","list hatching success for many other species and talks about temperate/tropical change in hatching success","no",4,27.5,"Fail_is_depr",0.5,1,1979,23,29,"YES",NA,0.0955844155844156,"before",26.267,"North tropics"
NA,"rlanctot",142,"Charadrius_wilsonia","Bergstrom 1982","Matagorda Island, Texas",1980,"1980",1980,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538,NA,NA,NA,NA,NA,NA,295.625,"mayfield","observed",NA,NA,NA,"25","5",NA,"no","list hatching success for many other species and talks about temperate/tropical change in hatching success","no",4,27.5,"Fail_is_depr",0.5,1,1980,15,29,"YES",NA,0.0507399577167019,"before",28.164,"North tropics"
NA,"mcragnolini",143,"Charadrius_wilsonia","Brown & Brindock 2011","St. Martin, Lesser Antilles",2004,"all",2004,13,10,NA,NA,3,9,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.75,NA,NA,"1-2 per week","1-2 per week",NA,NA,NA,NA,"no",NA,NA,5,27.5,NA,0.6,1,2004,13,35,"YES",NA,0.0310800310800311,"after",18.062,"North tropics"
NA,"rlanctot",144,"Bartramia_longicauda","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,413,204,NA,NA,NA,NA,0.67,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6952.5,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,27,"Fail_is_depr",0.5,29,1977,204,617,"YES",NA,0.0293419633225458,"before",47.551,"North temperate"
NA,"rlanctot",144,"Catoptrophorus_semipalmatus / Tringa semipalmata","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,41,38,NA,NA,NA,NA,0.52,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,27.5,"Fail_is_depr",0.5,29,1977,38,79,"YES",NA,0.0460606060606061,"before",47.551,"North temperate"
NA,"rlanctot",144,"Charadrius melodus","kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,6,3,NA,NA,NA,NA,0.67,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,NA,"Fail_is_depr",0.5,29,1977,3,9,"YES",NA,NA,"before",47.551,"North temperate"
NA,"rlanctot",144,"Charadrius_vociferus","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,86,49,NA,NA,NA,NA,0.64,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1577.3875,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,28.55,"Fail_is_depr",0.5,29,1977,49,135,"YES",NA,0.0310640219983992,"before",47.551,"North temperate"
NA,"rlanctot",144,"Gallinago_delicata","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,17,7,NA,NA,NA,NA,0.71,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.75,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,23,"Fail_is_depr",0.5,29,1977,7,24,"YES",NA,0.0296924708377519,"before",47.551,"North temperate"
NA,"rlanctot",144,"Limosa_fedoa","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,26,17,NA,NA,NA,NA,0.6,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,28,"Fail_is_depr",0.5,29,1977,17,43,"YES",NA,0.0351966873706004,"before",47.551,"North temperate"
NA,"rlanctot",144,"Steganopus_tricolor (Phalaropus tricolor)","Kantrud & Higgins 1992","North Dacota + some data also from South Dacota, Manitoba and Montana",1963,"all",1991,80,56,NA,NA,NA,NA,0.59,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"combined data across many studies so search effort, etc is all over","no",4,27,"Fail_is_depr",0.5,29,1977,56,136,"YES",NA,0.0384087791495199,"before",47.551,"North temperate"
NA,"apintaric",145,"Charadrius_melodus","Catlin et al. 2011","Missouri 95 km, South Dakota/Nebraska",2005,"2005",2007,97,18,7,NA,49,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022.75,NA,NA,NA,"every_2nd",NA,NA,NA,NA,NA,"Duplicated rows below for all years. Study looked at natural, engineered and managed sandbars. DSR did not vary very much by habitat.",NA,NA,31,NA,0.5,3,2006,67,164,"YES",NA,0.00889877641824249,"after",42.765,"North temperate"
NA,"apintaric",145,"Charadrius_melodus","Catlin et al. 2011","Missouri 95 km, South Dakota/Nebraska",2005,"2006",2007,105,18,21,NA,56,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2201,NA,NA,NA,"every_2nd",NA,NA,NA,NA,NA,"Duplicated rows below for all years. Study looked at natural, engineered and managed sandbars. DSR did not vary very much by habitat.",NA,NA,31,NA,0.5,3,2006,74,179,"YES",NA,0.00817810086324398,"after",42.765,"North temperate"
NA,"apintaric",145,"Charadrius_melodus","Catlin et al. 2011","Missouri 95 km, South Dakota/Nebraska",2005,"2007",2007,107,47,15,NA,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2201,NA,NA,NA,"every_2nd",NA,NA,NA,NA,NA,"Duplicated rows below for all years. Study looked at natural, engineered and managed sandbars. DSR did not vary very much by habitat.",NA,NA,31,NA,0.5,3,2006,70,177,"YES",NA,0.0213539300318037,"after",42.765,"North temperate"
NA,"eschlicht",146,"Charadrius_melodus","Richardson 1999","Freshwarter lake and surrounding, Alberta",1996,"1996",1997,7,11,NA,NA,NA,NA,0.39,NA,0.9545,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,232.5,NA,NA,"1-2 per week","every_2nd",NA,NA,NA,"34","yes","study anomaly: predator exclosures tested; nest search frequency: every two days",NA,NA,31,"Fail_is_depr",0.6,2,1996.5,11,18,"YES",NA,0.0473118279569893,"before",52.617,"North temperate"
NA,"eschlicht",146,"Charadrius_melodus","Richardson 1999","Freshwarter lake and surrounding, Alberta",1996,"1997",1997,5,13,NA,NA,NA,NA,0.28,NA,0.9577,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,213.9,NA,NA,"1-2 per week","every_2nd",NA,NA,NA,"34","yes","study anomaly: predator exclosures tested; nest search frequency: every two days",NA,NA,31,"Fail_is_depr",0.6,2,1996.5,13,18,"YES",NA,0.0607760635811127,"before",52.617,"North temperate"
NA,"eschlicht",146,"Charadrius_melodus","Richardson 1999","Freshwarter lake and surrounding, Alberta",1996,"1996",1997,14,3,NA,NA,NA,NA,0.82,NA,0.9925,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,288.3,NA,NA,"1-2 per week","every_2nd",NA,NA,NA,"34","yes","study anomaly: predator exclosures tested; nest search frequency: every two days",NA,NA,31,"Fail_is_depr",0.6,2,1996.5,3,17,"YES",NA,0.0104058272632674,"before",52.617,"North temperate"
NA,"eschlicht",146,"Charadrius_melodus","Richardson 1999","Freshwarter lake and surrounding, Alberta",1996,"1997",1997,7,8,NA,NA,NA,NA,0.47,NA,0.9745,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,204.6,NA,NA,"1-2 per week","every_2nd",NA,NA,NA,"34","yes","study anomaly: predator exclosures tested; nest search frequency: every two days",NA,NA,31,"Fail_is_depr",0.6,2,1996.5,8,15,"YES",NA,0.0391006842619746,"before",52.617,"North temperate"
NA,"mcragnolini",147,"Charadrius_melodus","White 2005","Chaplin Lake, Saskatchewan",2002,"2002",2004,23,7,2,0,1,3,NA,NA,0.98,"0.97","0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.2,"mayfield","inc+lay","1-2 per week",NA,NA,"28","7",NA,"no","""Nest fate was known for 34 of the 36 nests I monitored in 2002[...]"" probaly typo in number of nests with unknown fate, discrepancy with Table 2.1; not sure about uncertainty type, could be sd",NA,5,31,NA,0.6,3,2003,8,31,"YES",NA,0.0139386698526483,"after",50.433,"North temperate"
NA,"mcragnolini",147,"Charadrius_melodus","White 2005","Chaplin Lake, Saskatchewan",2002,"2003",2004,36,4,0,0,1,1,NA,NA,0.99,"0.98","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716.1,"mayfield","inc+lay","1-2 per week",NA,NA,"28","7",NA,"no","""Nest fate was known for [...] 40 of 41 nests in 2003 [...]""; not sure about uncertainty type, could be sd",NA,5,31,NA,0.6,3,2003,5,41,"YES",NA,0.00558581203742494,"after",50.433,"North temperate"
NA,"mcragnolini",147,"Charadrius_melodus","White 2005","Chaplin Lake, Saskatchewan",2002,"2004",2004,75,28,2,0,1,0,NA,NA,0.97,"0.95","0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664.7,"mayfield","inc+lay","1-2 per week",NA,NA,"28","7",NA,"no","""Nest fate was known for [...] all 75 in 2004""; not sure about uncertainty type, could be sd",NA,5,31,NA,0.6,3,2003,29,104,"YES",NA,0.0168198474199556,"after",50.433,"North temperate"
NA,"eschlicht",148,"Charadrius_thoracicus","Zefania et al. 2008","Marambitsy Bay",2004,"2004",2005,0,9,NA,NA,1,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,NA,NA,NA,"1-2 per week",NA,NA,NA,NA,NA,"other causes for failure: flooding (N=1); data were collected in 2004, but year should perhaps be 2003 (i.e. 2003/2004 season). Most nests probably detected in May, at end of 2003/04 season. However, some data also collected in Nov, which would probably be season 2004/05.",NA,NA,29,NA,0.5,2,2004.5,10,10,"YES",NA,0.124137931034483,"after",-15.966667,"South tropics"
NA,"eschlicht",148,"Charadrius_thoracicus","Zefania et al. 2008","Tsimanampetsotsa ",2004,"2004",2005,20,22,9,2,21,NA,0.27,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1135.35,"mayfield","observed",NA,"1-2 per week","laying","27",NA,NA,NA,"reported is daily mortality m, therefore I entered as daily survival 1 - m; no uncertainty reported; other causes for failure: flooding (N=20) and trampling by livestock (N=1)",NA,NA,29,NA,0.9,2,2004.5,45,65,"YES",NA,0.0193772845378077,"after",-24.145,"South tropics"
